horario_id,fecha,turno1_id,turno2_id,estado
10,2024-05-29,299,261.0,realizada
1,2024-11-27,117,205.0,realizada
2,2024-05-28,75,5.0,realizada
10,2024-08-22,274,,realizada
6,2025-03-07,143,,realizada
2,2025-03-01,190,261.0,realizada
1,2024-08-11,126,249.0,realizada
3,2024-12-01,198,273.0,realizada
8,2024-12-02,102,,realizada
8,2025-01-14,238,49.0,realizada
3,2024-07-03,75,224.0,realizada
9,2024-09-07,224,94.0,realizada
3,2024-06-13,139,215.0,cancelada
1,2024-10-09,178,94.0,realizada
7,2024-08-21,94,222.0,realizada
8,2024-12-04,160,161.0,realizada
3,2025-01-25,26,,realizada
5,2024-08-09,288,,realizada
1,2024-08-25,85,,realizada
3,2024-05-01,90,176.0,realizada
5,2024-07-06,125,162.0,realizada
1,2024-10-05,275,,cancelada
9,2024-10-22,26,,realizada
5,2024-09-11,169,57.0,realizada
1,2025-02-08,32,215.0,cancelada
4,2025-03-12,235,141.0,realizada
8,2024-10-31,15,,realizada
5,2024-11-23,222,200.0,cancelada
9,2025-03-29,278,282.0,realizada
6,2025-01-23,181,,realizada
4,2024-06-09,22,,realizada
10,2025-02-20,182,223.0,realizada
8,2024-05-05,229,245.0,realizada
9,2024-11-02,144,,cancelada
4,2025-03-03,56,,realizada
7,2024-11-15,17,,realizada
8,2025-01-21,29,123.0,realizada
3,2024-04-30,27,226.0,cancelada
10,2024-04-26,194,,realizada
10,2024-05-23,80,64.0,realizada
7,2024-10-10,207,279.0,realizada
7,2025-03-24,59,,realizada
1,2024-05-07,280,203.0,realizada
4,2024-12-03,276,,realizada
1,2025-04-09,288,,realizada
4,2024-11-05,232,57.0,realizada
4,2025-02-07,287,105.0,realizada
1,2024-10-28,149,136.0,realizada
10,2024-04-19,221,53.0,realizada
5,2025-03-21,153,,realizada
2,2024-05-25,265,,realizada
2,2024-11-02,68,108.0,realizada
6,2024-10-30,184,192.0,realizada
9,2024-05-26,299,282.0,realizada
5,2024-09-30,239,,realizada
10,2024-09-27,198,82.0,realizada
9,2025-04-03,268,,realizada
3,2024-09-20,123,,cancelada
5,2024-04-23,231,272.0,realizada
2,2025-02-17,31,206.0,realizada
5,2025-04-07,234,,realizada
3,2024-06-28,177,,realizada
6,2025-02-19,14,,cancelada
10,2024-10-07,288,,realizada
8,2024-06-16,76,,realizada
8,2024-12-04,112,5.0,realizada
7,2024-05-27,277,,realizada
2,2024-10-18,232,175.0,realizada
7,2025-03-18,288,,realizada
6,2024-11-17,240,175.0,realizada
1,2024-12-16,239,,realizada
1,2025-01-28,179,289.0,realizada
1,2024-08-06,57,267.0,realizada
6,2024-04-17,193,55.0,cancelada
1,2024-10-15,174,259.0,realizada
2,2025-01-23,228,250.0,realizada
3,2024-07-07,255,79.0,realizada
5,2024-07-29,163,270.0,realizada
6,2025-01-27,51,117.0,realizada
4,2024-05-24,84,,realizada
5,2025-03-27,76,,realizada
4,2024-04-11,146,109.0,realizada
2,2024-09-21,86,111.0,realizada
8,2024-08-04,67,293.0,realizada
5,2024-10-23,123,161.0,realizada
1,2024-10-10,170,263.0,realizada
8,2024-08-10,118,,realizada
9,2024-09-20,76,,cancelada
5,2025-02-09,42,245.0,cancelada
8,2025-01-04,290,165.0,realizada
9,2025-01-02,239,,realizada
3,2024-08-30,275,,realizada
6,2025-02-19,88,230.0,cancelada
4,2025-03-31,197,265.0,realizada
1,2025-03-23,150,186.0,realizada
1,2024-09-24,196,99.0,realizada
1,2024-06-05,107,267.0,realizada
4,2025-04-05,56,,realizada
9,2024-08-06,199,262.0,realizada
1,2024-06-30,277,,realizada
1,2024-11-25,181,212.0,realizada
2,2024-07-21,49,158.0,realizada
10,2024-11-10,150,24.0,realizada
4,2024-06-28,265,263.0,cancelada
2,2024-10-17,124,233.0,realizada
7,2024-12-12,102,,realizada
5,2025-04-01,181,108.0,realizada
1,2024-07-07,67,254.0,realizada
4,2024-05-09,39,49.0,realizada
7,2024-07-05,22,,realizada
4,2025-03-18,151,294.0,realizada
4,2024-10-23,190,209.0,realizada
10,2025-01-10,288,,realizada
9,2024-05-18,184,124.0,realizada
8,2024-09-29,138,,realizada
9,2024-08-11,280,124.0,realizada
9,2024-09-20,259,,realizada
7,2025-02-07,225,174.0,realizada
2,2024-05-18,21,,realizada
10,2025-01-10,178,255.0,realizada
4,2024-08-11,72,,realizada
2,2024-05-29,21,,realizada
6,2024-12-06,54,42.0,realizada
10,2024-11-29,25,201.0,cancelada
3,2025-03-20,177,,realizada
9,2024-07-29,273,224.0,realizada
4,2025-01-27,268,,realizada
8,2024-06-12,56,,cancelada
5,2025-02-14,89,45.0,realizada
3,2024-11-25,131,168.0,realizada
4,2025-02-10,44,,realizada
5,2025-02-03,83,176.0,realizada
10,2024-07-31,155,285.0,realizada
5,2024-11-07,71,223.0,realizada
1,2024-08-09,84,,realizada
3,2025-02-28,137,,realizada
5,2025-01-21,269,282.0,realizada
3,2024-08-22,122,252.0,realizada
2,2024-10-07,119,50.0,realizada
3,2025-01-16,250,267.0,realizada
10,2024-08-18,94,273.0,realizada
1,2025-02-01,44,,realizada
3,2024-10-06,268,,realizada
7,2025-03-25,177,,realizada
9,2024-12-21,185,218.0,cancelada
9,2025-03-12,268,,cancelada
8,2024-06-21,182,255.0,realizada
6,2024-09-01,177,,realizada
10,2024-12-30,9,145.0,realizada
9,2024-06-24,56,,cancelada
6,2025-01-16,137,,realizada
5,2025-03-18,153,,realizada
10,2024-05-13,271,200.0,realizada
6,2025-03-09,126,235.0,realizada
9,2025-03-26,275,,realizada
7,2025-01-17,189,130.0,realizada
5,2024-12-05,118,,realizada
8,2025-03-17,233,127.0,realizada
4,2025-04-01,277,,realizada
5,2024-06-23,26,,cancelada
3,2024-07-12,100,,realizada
8,2024-08-08,68,54.0,realizada
4,2024-04-26,164,180.0,realizada
7,2024-12-18,58,255.0,realizada
8,2024-08-25,1,125.0,realizada
5,2024-04-14,81,267.0,realizada
3,2024-07-03,288,,cancelada
3,2024-12-10,153,,realizada
7,2025-02-19,17,,realizada
10,2024-12-03,137,,realizada
7,2024-05-10,193,245.0,realizada
7,2024-07-07,262,294.0,realizada
2,2024-06-04,106,148.0,realizada
3,2024-08-02,216,,realizada
3,2025-01-30,17,,realizada
4,2024-05-27,203,,realizada
5,2025-02-12,196,,cancelada
10,2024-11-26,274,,realizada
1,2024-10-29,177,,realizada
6,2024-08-31,194,219.0,cancelada
8,2025-05-07,8,134.0,pendiente
9,2025-05-10,196,103.0,pendiente
4,2025-05-05,274,,pendiente
10,2025-04-14,17,,pendiente
6,2025-04-25,141,225.0,pendiente
6,2025-05-02,146,107.0,pendiente
2,2025-04-22,44,,pendiente
4,2025-05-02,134,,pendiente
8,2025-04-15,21,,pendiente
10,2025-04-21,54,2.0,pendiente
5,2025-05-11,118,,pendiente
4,2025-04-23,17,,pendiente
5,2025-05-11,44,,pendiente
3,2025-04-27,118,,pendiente
9,2025-04-23,188,121.0,pendiente
3,2025-05-06,130,263.0,pendiente
7,2025-05-08,145,235.0,pendiente
2,2025-04-13,170,262.0,pendiente
10,2025-04-16,142,121.0,pendiente
9,2025-04-21,118,,pendiente
