horario_id,fecha,turno1_id,turno2_id,estado
10,2024-05-29,299,261,realizada
1,2024-11-27,117,205,realizada
2,2024-05-28,75,5,realizada
10,2024-08-22,274,NULL,realizada
6,2025-03-07,143,NULL,realizada
2,2025-03-01,190,261,realizada
1,2024-08-11,126,249,realizada
3,2024-12-01,198,273,realizada
8,2024-12-02,102,NULL,realizada
8,2025-01-14,238,49,realizada
3,2024-07-03,75,224,realizada
9,2024-09-07,224,94,realizada
3,2024-06-13,139,215,cancelada
1,2024-10-09,178,94,realizada
7,2024-08-21,94,222,realizada
8,2024-12-04,160,161,realizada
3,2025-01-25,26,NULL,realizada
5,2024-08-09,288,NULL,realizada
1,2024-08-25,85,NULL,realizada
3,2024-05-01,90,176,realizada
5,2024-07-06,125,162,realizada
1,2024-10-05,275,NULL,cancelada
9,2024-10-22,26,NULL,realizada
5,2024-09-11,169,57,realizada
1,2025-02-08,32,215,cancelada
4,2025-03-12,235,141,realizada
8,2024-10-31,15,NULL,realizada
5,2024-11-23,222,200,cancelada
9,2025-03-29,278,282,realizada
6,2025-01-23,181,NULL,realizada
4,2024-06-09,22,NULL,realizada
10,2025-02-20,182,223,realizada
8,2024-05-05,229,245,realizada
9,2024-11-02,144,NULL,cancelada
4,2025-03-03,56,NULL,realizada
7,2024-11-15,17,NULL,realizada
8,2025-01-21,29,123,realizada
3,2024-04-30,27,226,cancelada
10,2024-04-26,194,NULL,realizada
10,2024-05-23,80,64,realizada
7,2024-10-10,207,279,realizada
7,2025-03-24,59,NULL,realizada
1,2024-05-07,280,203,realizada
4,2024-12-03,276,NULL,realizada
1,2025-04-09,288,NULL,realizada
4,2024-11-05,232,57,realizada
4,2025-02-07,287,105,realizada
1,2024-10-28,149,136,realizada
10,2024-04-19,221,53,realizada
5,2025-03-21,153,NULL,realizada
2,2024-05-25,265,NULL,realizada
2,2024-11-02,68,108,realizada
6,2024-10-30,184,192,realizada
9,2024-05-26,299,282,realizada
5,2024-09-30,239,NULL,realizada
10,2024-09-27,198,82,realizada
9,2025-04-03,268,NULL,realizada
3,2024-09-20,123,NULL,cancelada
5,2024-04-23,231,272,realizada
2,2025-02-17,31,206,realizada
5,2025-04-07,234,NULL,realizada
3,2024-06-28,177,NULL,realizada
6,2025-02-19,14,NULL,cancelada
10,2024-10-07,288,NULL,realizada
8,2024-06-16,76,NULL,realizada
8,2024-12-04,112,5,realizada
7,2024-05-27,277,NULL,realizada
2,2024-10-18,232,175,realizada
7,2025-03-18,288,NULL,realizada
6,2024-11-17,240,175,realizada
1,2024-12-16,239,NULL,realizada
1,2025-01-28,179,289,realizada
1,2024-08-06,57,267,realizada
6,2024-04-17,193,55,cancelada
1,2024-10-15,174,259,realizada
2,2025-01-23,228,250,realizada
3,2024-07-07,255,79,realizada
5,2024-07-29,163,270,realizada
6,2025-01-27,51,117,realizada
4,2024-05-24,84,NULL,realizada
5,2025-03-27,76,NULL,realizada
4,2024-04-11,146,109,realizada
2,2024-09-21,86,111,realizada
8,2024-08-04,67,293,realizada
5,2024-10-23,123,161,realizada
1,2024-10-10,170,263,realizada
8,2024-08-10,118,NULL,realizada
9,2024-09-20,76,NULL,cancelada
5,2025-02-09,42,245,cancelada
8,2025-01-04,290,165,realizada
9,2025-01-02,239,NULL,realizada
3,2024-08-30,275,NULL,realizada
6,2025-02-19,88,230,cancelada
4,2025-03-31,197,265,realizada
1,2025-03-23,150,186,realizada
1,2024-09-24,196,99,realizada
1,2024-06-05,107,267,realizada
4,2025-04-05,56,NULL,realizada
9,2024-08-06,199,262,realizada
1,2024-06-30,277,NULL,realizada
1,2024-11-25,181,212,realizada
2,2024-07-21,49,158,realizada
