alumno_id,materia_id,tema_id,nota
66,3,31,7.2
51,4,38,8.1
16,3,28,NULL
76,3,29,8.7
81,3,36,2.5
100,2,24,2.8
75,2,16,NULL
97,4,47,8.3
52,4,43,2.7
71,1,2,NULL
109,3,32,NULL
85,1,1,6.2
53,2,20,8.4
95,3,30,8.5
9,4,47,5
67,3,36,2.6
118,3,35,9.1
114,4,42,5.3
82,4,47,9.7
100,3,31,2.7
66,2,21,2.7
6,4,48,9.1
51,4,43,6.8
39,2,14,6.9
16,1,4,4.9
19,2,23,1.7
66,3,36,2.5
116,4,44,7.6
52,1,1,NULL
78,4,38,NULL
57,3,33,5.4
89,3,32,NULL
91,3,25,NULL
55,4,43,2.8
108,3,32,4.5
94,4,37,4.9
41,1,1,3.9
5,3,36,3.3
89,1,2,NULL
35,1,6,3.2
102,2,21,8.7
39,1,12,NULL
66,2,20,9.8
116,3,26,6.5
99,3,33,5.2
51,3,32,2.1
22,2,14,7.6
41,2,14,5.1
31,4,39,4.2
5,4,45,NULL
98,4,41,7.6
1,2,22,5.2
90,2,16,8.7
88,4,44,7
12,2,14,1.7
61,1,12,7.9
107,2,23,NULL
56,4,40,7.2
4,3,30,7.1
56,4,48,NULL
1,4,43,5.6
60,2,17,2.3
81,4,48,8.5
10,1,6,6.2
8,1,10,6.9
87,3,26,7.6
112,1,8,9.1
65,3,36,NULL
62,1,8,4.3
100,3,27,6.5
37,4,43,2.7
7,1,7,NULL
52,4,41,6.3
1,1,4,NULL
14,4,42,3.1
4,3,36,9.9
112,1,6,1.7
24,2,21,1.4
29,1,10,1.9
96,4,43,4.6
110,4,44,5.1
17,3,30,5.5
31,1,7,6.8
76,1,1,NULL
12,3,25,NULL
83,3,33,3.5
116,4,46,2.9
35,4,38,4.9
33,2,19,NULL
86,4,46,2
118,4,43,NULL
45,3,36,4.2
94,4,44,3.9
77,3,34,2.2
28,2,13,8.9
95,4,48,9.7
102,1,6,2.8
53,1,7,8.5
92,1,3,5.7
7,4,39,NULL
