alumno_id,materia_id,tema_id,servicio_id
98,2,20,4
33,3,36,3
31,1,10,3
92,2,24,2
72,4,44,2
54,2,22,2
24,1,11,2
29,3,31,2
91,1,4,4
51,4,48,2
118,3,25,3
109,2,24,4
82,1,3,2
82,1,6,1
15,4,45,1
49,2,18,3
74,4,38,1
64,2,23,3
28,3,36,2
114,3,35,2
66,1,9,1
40,1,11,1
24,1,8,3
60,1,10,2
86,1,5,2
25,1,12,1
54,1,3,3
59,3,28,2
81,1,1,2
27,2,18,2
30,1,7,2
35,1,2,2
98,2,24,2
35,2,17,4
84,2,15,3
5,2,20,4
120,4,47,2
1,1,7,4
108,4,45,4
23,4,43,2
45,2,17,2
33,3,32,2
49,2,21,2
104,3,28,1
82,3,32,2
106,2,15,2
87,1,12,1
18,2,13,2
56,4,41,2
7,1,1,2
112,3,31,3
55,2,21,2
5,3,27,3
47,3,30,4
72,3,34,2
78,1,4,1
4,2,19,4
95,4,43,2
65,1,4,4
42,1,2,4
112,4,47,2
79,3,33,4
103,2,16,4
4,3,35,2
25,4,46,4
88,3,34,2
21,4,38,2
45,3,27,3
14,1,9,2
25,4,45,4
84,4,41,3
42,3,32,1
52,3,26,2
54,3,27,2
82,4,38,4
19,1,2,1
38,4,45,2
88,3,31,2
16,4,47,3
5,3,34,3
111,2,24,4
58,4,39,4
13,4,41,2
74,1,10,1
77,2,16,2
89,3,25,2
74,2,21,4
27,4,42,2
78,3,30,2
45,4,48,2
68,2,23,2
114,4,41,2
23,1,12,2
63,4,45,3
85,1,2,2
65,1,5,4
109,4,47,2
43,1,11,3
96,3,34,2
46,2,20,1
21,2,13,3
100,4,41,1
31,3,34,2
68,2,14,2
23,1,9,2
48,4,48,2
25,2,22,3
8,3,25,2
39,2,20,2
71,1,1,2
90,3,35,4
120,4,46,2
82,4,46,2
89,1,10,2
96,4,46,2
117,3,25,2
61,3,26,2
90,4,38,1
109,1,7,4
119,2,24,2
72,1,5,2
23,4,38,2
23,1,4,2
83,2,19,3
71,2,24,2
8,1,9,4
86,2,21,4
5,3,25,3
117,3,32,4
104,1,4,2
29,2,22,2
40,3,34,3
28,1,10,2
28,3,28,3
91,1,3,2
20,4,47,4
14,4,47,1
16,3,31,1
71,1,11,2
27,1,12,3
88,1,3,2
27,1,7,2
76,2,13,2
42,3,33,1
10,1,9,2
78,2,17,2
16,1,8,2
50,4,38,2
67,4,43,3
113,1,3,3
83,1,12,2
21,1,5,2
106,3,33,1
53,3,26,3
69,1,6,4
85,4,38,3
15,2,13,2
57,4,40,2
69,2,22,4
36,1,5,2
82,1,6,2
104,2,13,2
14,4,43,2
41,2,24,2
17,3,28,2
20,2,23,4
68,2,19,4
110,2,20,2
104,2,19,2
86,1,12,4
46,4,46,2
118,1,12,2
73,4,46,2
100,1,7,2
37,2,23,3
5,4,38,2
9,4,46,1
24,4,46,4
16,1,10,2
63,2,13,2
36,3,29,2
108,4,43,3
65,2,20,2
5,2,24,2
18,3,25,2
44,1,11,3
93,2,16,3
11,1,1,4
65,1,2,2
67,4,47,2
45,2,13,4
48,2,23,3
113,3,32,2
83,2,16,3
67,4,43,2
68,3,29,2
73,1,9,2
83,4,44,2
51,1,6,4
8,4,48,2
103,1,7,3
85,4,46,3
55,2,19,2
86,2,13,3
109,3,35,2
55,1,10,2
31,4,38,2
29,3,35,2
8,4,46,2
47,3,25,3
20,3,27,3
114,3,32,2
20,3,31,2
37,4,40,2
15,1,2,2
97,4,42,2
50,3,29,2
88,3,35,3
76,2,15,2
87,2,19,2
115,3,36,3
106,4,37,2
89,4,44,2
79,4,41,3
6,1,8,3
91,1,4,4
66,3,29,4
40,2,24,2
37,3,34,2
66,4,43,3
89,2,19,2
116,2,21,4
101,2,23,2
95,2,21,3
69,1,9,4
82,4,39,4
23,3,27,3
47,4,48,2
52,3,35,1
101,2,23,2
103,2,23,2
22,3,34,3
8,2,15,2
8,4,41,2
90,3,30,3
17,3,32,2
33,3,26,4
45,4,46,2
71,1,10,3
102,2,21,2
51,3,35,2
47,4,38,2
68,2,15,3
71,4,43,4
41,4,47,4
6,2,22,4
92,3,29,2
117,1,9,2
39,1,2,2
60,2,14,2
104,4,47,4
92,1,11,2
50,1,2,2
85,1,1,4
4,1,1,4
36,4,46,2
66,2,24,2
33,3,28,1
54,4,37,4
118,4,37,4
101,4,38,2
104,2,24,3
89,4,43,3
66,4,42,1
50,2,24,1
47,1,6,3
52,3,25,1
40,4,48,4
23,4,42,2
10,2,21,2
3,3,36,2
17,4,38,3
52,3,30,4
60,2,17,4
90,1,1,4
87,3,27,4
84,1,8,4
83,4,37,1
12,1,12,2
5,3,25,2
17,4,38,2
22,3,31,2
63,4,43,2
106,1,6,2
102,3,26,2
110,1,9,4
19,1,1,2
3,1,12,4
70,4,37,2
12,4,48,4
